Method,Diversity,Novelty,Serendipity,Avg_Rating
Content-Based,0.0,0.7,0.0,4.37
Content-Based,0.0,0.7,0.0,4.41
Content-Based,0.8666666666666667,0.7,0.0,4.53
Content-Based,0.7333333333333333,0.4,0.0,4.4
Content-Based,0.26666666666666666,0.6,0.0,4.65
Content-Based,1.0333333333333334,0.7,0.0,4.529999999999999
Content-Based,0.7,0.8,0.0,4.45
Content-Based,0.8666666666666667,0.6,0.0,4.569999999999999
Content-Based,0.5333333333333333,1.0,0.0,4.65
Content-Based,0.7333333333333333,0.8,0.0,4.4799999999999995
Content-Based,0.0,0.7,0.0,4.51
Content-Based,0.7666666666666667,0.3,0.0,4.35
Content-Based,0.0,0.7,0.0,4.500000000000001
Content-Based,1.2,0.5,0.0,4.49
Content-Based,0.6333333333333333,0.3,0.0,4.6
Content-Based,1.0666666666666667,0.5,0.0,4.46
Content-Based,0.5333333333333333,1.0,0.0,4.390000000000001
Content-Based,0.9666666666666667,0.5,0.5,4.44
Content-Based,0.8333333333333334,0.5,0.0,4.37
Content-Based,0.0,0.7,0.0,4.51
Cluster-Based,0.8,0.0,0.0,4.8199999999999985
Cluster-Based,0.8,0.0,0.0,4.8199999999999985
Cluster-Based,0.8,0.0,0.0,4.8199999999999985
Cluster-Based,0.8,0.0,0.0,4.8199999999999985
Cluster-Based,0.8,0.0,0.0,4.8199999999999985
Cluster-Based,0.8,0.0,0.0,4.8199999999999985
Cluster-Based,0.8,0.0,0.0,4.8199999999999985
Cluster-Based,0.8,0.0,0.0,4.8199999999999985
Cluster-Based,0.14285714285714285,1.0,0.0,4.642857142857143
Cluster-Based,0.8,0.0,0.0,4.8199999999999985
Cluster-Based,0.8,0.0,0.0,4.8199999999999985
Cluster-Based,0.8,0.0,0.0,4.8199999999999985
Cluster-Based,0.8,0.0,0.0,4.8199999999999985
Cluster-Based,0.8,0.0,0.0,4.8199999999999985
Cluster-Based,0.8,0.0,0.0,4.8199999999999985
Cluster-Based,0.8,0.0,0.0,4.8199999999999985
Cluster-Based,0.8,0.0,0.0,4.8199999999999985
Cluster-Based,1.0,0.0,0.0,4.7
Cluster-Based,0.8,0.0,0.0,4.81
Cluster-Based,0.8,0.0,0.0,4.8199999999999985
Hybrid,0.7666666666666667,0.0,0.0,4.8199999999999985
Hybrid,0.7666666666666667,0.0,0.0,4.8199999999999985
Hybrid,0.7666666666666667,0.0,0.0,4.8199999999999985
Hybrid,0.7666666666666667,0.0,0.0,4.8199999999999985
Hybrid,0.7666666666666667,0.0,0.0,4.8199999999999985
Hybrid,0.7666666666666667,0.0,0.0,4.8199999999999985
Hybrid,0.7666666666666667,0.0,0.0,4.8199999999999985
Hybrid,0.8333333333333334,0.1,0.0,4.839999999999999
Hybrid,0.5333333333333333,1.0,0.0,4.65
Hybrid,0.7666666666666667,0.0,0.0,4.8199999999999985
Hybrid,0.7666666666666667,0.0,0.0,4.8199999999999985
Hybrid,0.7666666666666667,0.0,0.0,4.8199999999999985
Hybrid,0.7666666666666667,0.0,0.0,4.8199999999999985
Hybrid,0.7666666666666667,0.0,0.0,4.8199999999999985
Hybrid,0.7666666666666667,0.0,0.0,4.8199999999999985
Hybrid,0.7666666666666667,0.0,0.0,4.8199999999999985
Hybrid,0.7666666666666667,0.0,0.0,4.8199999999999985
Hybrid,0.9666666666666667,0.5,0.5,4.44
Hybrid,0.8,0.0,0.0,4.81
Hybrid,0.7666666666666667,0.0,0.0,4.8199999999999985
